"CATEGORIE","LIBELLE","MOT_DIRECTEUR","STATUT","COMMUNE","RIVOLI","TENANT","ABOUTISSANT","BI_MIN","BP_MIN","BI_MAX","BP_MAX","DATE_CREATION","DATE_MODIFICATION"
"Rue","Rue Flandres Dunkerque 40","Dunkerque","PUBLIQUE","NANTES","3140","NANTES Quai de la Fosse","NANTES Rue Voltaire","1","2","23","18","",""
"Rue","Rue Bâtonnier Guinaudeau","Guinaudeau","PUBLIQUE","NANTES","0624","NANTES Rue Flandres Dunkerque 40","NANTES Quai de la Fosse","1","4","15","14","",""
"Rue","Rue Mathurin Brissonneau","Brissonneau","PUBLIQUE","NANTES","5492","NANTES Quai de la Fosse","NANTES Rue de la Brasserie","1","2","19","6","",""
"Rue","Rue de la Verrerie","Verrerie","PUBLIQUE","NANTES","8356","NANTES Quai de la Fosse","NANTES Place Eugène Livet","5","2","19","18","",""
"Rue","Rue Gaston Michel","Michel","PUBLIQUE","NANTES","3512","NANTES Rue Deurbroucq","NANTES Quai de la Fosse","5","","5","","",""
"Rue","Rue Basile Valentin","Valentin","PUBLIQUE","NANTES","0570","NANTES Rue de la Brasserie","NANTES Rue Frédéric Kuhlmann","1","2","1","4","",""
"Rue","Rue Lavoisier","Lavoisier","PUBLIQUE","NANTES","4844","NANTES Rue de la Brasserie","NANTES Boulevard de Launay","3","4","7","6","",""
"Rue","Rue Michel le Lou du Breil","Breil","PUBLIQUE","NANTES","5640","NANTES Quai de la Fosse","NANTES Rue de la Brasserie","1","2","13","16","",""
"Rue","Rue de la Brasserie","Brasserie","PUBLIQUE","NANTES","1200","NANTES Rue de la Brasserie","NANTES Rue Daubenton","1","2","13","20","",""
"Quai","Quai de la Fosse","Fosse","PUBLIQUE","NANTES","3235","NANTES Rue Jean Jacques Rousseau","","1","2","99","100","",""
"Rue","Rue Daubenton","Daubenton","PUBLIQUE","NANTES","2392","NANTES Rue de la Brasserie","NANTES Place Louis Daubenton","1","4","3","8","",""
"Rue","Rue Jean Jacques Rousseau","Rousseau","PUBLIQUE","NANTES","4472","NANTES Cours Franklin Roosevelt","","1","2","17","16","",""
"Cours","Cours Franklin Roosevelt","Roosevelt","PUBLIQUE","NANTES","3332","NANTES Rue des Etats","NANTES Rue Félix Eboué","","","","","",""
"Rue","Rue Meuris","Meuris","PUBLIQUE","NANTES","5616","NANTES Quai de la Fosse","NANTES Rue de la Brasserie","1","2","11","12","",""
